id	revision	url
count-downward-together-ipc2026	6193ea1b3a29dfff4f9e86d903991e043380543e	https://github.com/ipc2026-numeric/team-11.git
tempest-numeric-ipc2026	9805bc73159c0f511dfc77a3c90bb31edfce0040	https://github.com/ipc2026-numeric/team-12.git
ferroplan	d3d04ed1e1349f5f4559b27ee81cd2c0615d7fab	https://github.com/hhh42/ferroplan.git
metric-ff-crossplatform	12175caca49bc869b8351728c71e1d47ffd2b4a6	https://github.com/Vidminas/metric-ff-crossplatform.git
up-lpg	cafdc7972cfb5281dcd160c1c4bab66cba6f98be	https://github.com/aiplan4eu/up-lpg.git
shop2	9136e51f7845b46232cc17ca3618f515ddcf2787	https://github.com/cl-axon/shop2.git
popf-maintained	aa81a1b8bf75c585ca26a07763e5089e3be86985	https://github.com/fmrico/popf.git
optic-maintained	b8f8d9e48620d2b27311e3fbaafdbcb5defe9b15	https://github.com/KavrakiLab/optic.git
optic-alt-fork	770a60c4e0c0914924326329bd250722d1342d3e	https://github.com/roveri-marco/optic.git
tfd-maintained-mirror	668d1e1de73c90ef62c05a6aa34cf2a3b9ea9397	https://github.com/neighthan/tfd.git
up-tamer	e14874c5996f55204c138634b3fd3b4fb93db500	https://github.com/aiplan4eu/up-tamer.git
nextflap	dc9cb469f29d748e9bc91cfe94421b080b9efbc6	https://github.com/ossaver/NextFLAP.git
aries	1d300be27f0e0a60586e945863900ed1fa3bd0a5	https://github.com/plaans/aries.git
tempest-maintained	0a1edc229c948f4b7e89742034ec736de2f1325b	https://github.com/fbk-pso/tempest.git
temporal-planning-suite	772fbe13b91c193bc7f1af8be9c7b96b3cf25693	https://github.com/aig-upf/temporal-planning.git
fape	1f82cbd6555e046e6b76c12815263fc2ae3c9130	https://github.com/laas/fape.git
dino	f95f07d836138887d0e03e35c111aafd81b6f032	https://github.com/KCL-Planning/DiNo.git
upmurphi	abdd3fc5ecb601f42d9300c4977b70c19d8c0c0d	https://github.com/gdellapenna/UPMurphi.git
smtplan-plus	b085bd7ab05230275075d232f4d218f691ab9eab	https://github.com/KCL-Planning/SMTPlan.git
z3	53621bed781b1f80d49d57b65e13b6ef814e563a	https://github.com/Z3Prover/z3.git
yices2	35c09acc442d918e07ea4711d02a39f05b781e71	https://github.com/SRI-CSL/yices2.git
dreal4	f93bdcc26b62abdcc30ad7de6046729bb48016b9	https://github.com/dreal/dreal4.git
coinor-clp	0ff4207ca7c82d5c5e9b19eb925dfcb79ed21f50	https://github.com/coin-or/Clp.git
coinor-cbc	c69261633774bbb47d367d550dda5419b0867e8c	https://github.com/coin-or/Cbc.git
scip	d6817b61bf073abb8168784e32843ed36774d62b	https://github.com/scipopt/scip.git
clingo	91f90454f2d5c7b7d0aa8e7e692efd1adc48618f	https://github.com/potassco/clingo.git
unified-planning	a4eac91a4f9904ace6811a601e05b2485636efbb	https://github.com/aiplan4eu/unified-planning.git
planutils	b5d9c5adfd7ddc982cb708a1e4a397583665c05c	https://github.com/AI-Planning/planutils.git
val	3c7a1f330bdab0ba28a4762bb45c3f06c27fb6d4	https://github.com/KCL-Planning/VAL.git
tarski	da22c35a92705067683b4baab2a464c9aeb57030	https://github.com/aig-upf/tarski.git
jpddlplus	17dc2a6d72e4e1602cf8be49672bd8887d3c9b5e	https://github.com/hstairs/jpddlplus.git
ppmajal-legacy	81a9336a86eb6ec7a8f541c6028859fb4a053f88	https://gitlab.com/enricos83/PPMAJAL-Expressive-PDDL-Java-Library.git
pddl-solvers-build-harness	13272d1dbd3b83cc74fd888be0f58cd91a1d1e1a	https://github.com/mokhtarivahid/pddl-solvers.git
ipc2023-numeric-dataset	0799944d7135ceff9d4b504db8f4ee15ffb7c9fc	https://github.com/ipc2023-numeric/ipc2023-dataset.git
ipc2026-numeric-site	2d4f2cb3061754c9addded33b8f6e137a3c19c9d	https://github.com/ipc2026-numeric/ipc2026-numeric.github.io.git
ipc2026-numeric-benchmarks	85195dbbcccd90ef6359605e43baf7ceb4b5a786	https://github.com/ipc2026-numeric/ipc2026-dataset.git
ipc-pddl-instances	cf19edf7c53d1540ddbb396c642595e0926ee552	https://github.com/potassco/pddl-instances.git
