domain,instance,planner,heuristic,condition,status,validation,wall_seconds,expanded_nodes,evaluated_states,search_states,objective,csv_path
logistics,p001,enhsp,hradd,loose/tight,solved,valid,0.401829,35,,35,60.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,enhsp,hradd,tight/loose,solved,valid,0.401694,35,,35,60.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,enhsp,hradd,tight/tight,solved,valid,0.401966,35,,35,60.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,metric-ff-cross-v1,numeric-hff,loose/loose,solved,valid,0.200993,,32,32,126.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,metric-ff-cross-v1,numeric-hff,loose/tight,solved,valid,0.201012,,32,32,126.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,metric-ff-cross-v1,numeric-hff,tight/loose,solved,valid,0.201006,,32,32,126.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,metric-ff-cross-v1,numeric-hff,tight/tight,solved,valid,0.20102,,32,32,126.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,numeric-fast-downward-local,irhadd,loose/loose,solved,valid,0.200946,34,,34,90.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,numeric-fast-downward-local,irhadd,loose/tight,solved,valid,0.20098,34,,34,90.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,numeric-fast-downward-local,irhadd,tight/loose,solved,valid,0.200974,34,,34,90.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p001,numeric-fast-downward-local,irhadd,tight/tight,solved,valid,0.201007,34,,34,90.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
logistics,p002,count-downward-agile,irhff,loose/loose,solved,valid,0.401599,2806,,2806,452.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,count-downward-agile,irhff,loose/tight,solved,valid,0.200806,521,,521,537.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,count-downward-agile,irhff,tight/loose,solved,valid,0.200926,308,,308,414.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,count-downward-agile,irhff,tight/tight,solved,valid,0.401793,2275,,2275,300.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,enhsp,hadd,loose/loose,solved,valid,3.814606,2065,,2065,77.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,enhsp,hadd,loose/tight,solved,valid,2.814181,1018,,1018,71.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,enhsp,hadd,tight/loose,solved,valid,3.413235,1901,,1901,81.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,enhsp,hadd,tight/tight,solved,valid,2.610056,1216,,1216,89.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,enhsp,hradd,loose/loose,solved,valid,3.613407,2065,,2065,77.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,enhsp,hradd,loose/tight,solved,valid,2.409653,1018,,1018,71.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,enhsp,hradd,tight/loose,solved,valid,3.41317,1901,,1901,81.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,enhsp,hradd,tight/tight,solved,valid,2.61115,1216,,1216,89.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,metric-ff-cross-v1,numeric-hff,loose/loose,solved,valid,0.201,,1486,1486,487.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,metric-ff-cross-v1,numeric-hff,loose/tight,solved,valid,0.201058,,1486,1486,487.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,metric-ff-cross-v1,numeric-hff,tight/loose,solved,valid,0.200969,,1770,1770,217.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,metric-ff-cross-v1,numeric-hff,tight/tight,solved,valid,0.200823,,1762,1762,217.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,numeric-fast-downward-local,irhadd,loose/loose,solved,valid,1.204505,2267,,2267,76.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,numeric-fast-downward-local,irhadd,loose/tight,solved,valid,0.602647,939,,939,98.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,numeric-fast-downward-local,irhadd,tight/loose,solved,valid,1.205011,2003,,2003,80.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p002,numeric-fast-downward-local,irhadd,tight/tight,solved,valid,0.803542,1063,,1063,96.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
logistics,p003,count-downward-agile,irhff,loose/loose,solved,valid,0.401735,737,,737,369.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,count-downward-agile,irhff,loose/tight,solved,valid,0.401752,285,,285,492.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,count-downward-agile,irhff,tight/loose,solved,valid,0.401754,246,,246,403.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,count-downward-agile,irhff,tight/tight,solved,valid,0.40173,286,,286,492.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,enhsp,hadd,loose/loose,solved,valid,2.007619,202,,202,155.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,enhsp,hadd,loose/tight,solved,valid,5.821951,1909,,1909,147.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,enhsp,hadd,tight/loose,solved,valid,4.215605,1549,,1549,159.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,enhsp,hadd,tight/tight,solved,valid,58.209853,45992,,45992,147.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,enhsp,hradd,loose/loose,solved,valid,2.009348,202,,202,155.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,enhsp,hradd,loose/tight,solved,valid,6.022136,1909,,1909,147.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,enhsp,hradd,tight/loose,solved,valid,4.215754,1549,,1549,159.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,enhsp,hradd,tight/tight,solved,valid,59.612966,45992,,45992,147.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,metric-ff-cross-v1,numeric-hff,loose/loose,solved,valid,0.201176,,918,918,369.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,metric-ff-cross-v1,numeric-hff,loose/tight,solved,valid,0.20096,,918,918,369.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,metric-ff-cross-v1,numeric-hff,tight/loose,solved,valid,0.201179,,972,972,483.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,metric-ff-cross-v1,numeric-hff,tight/tight,solved,valid,0.200968,,975,975,483.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,numeric-fast-downward-local,irhadd,loose/loose,solved,valid,0.602225,217,,217,155.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,numeric-fast-downward-local,irhadd,loose/tight,solved,valid,2.610076,2834,,2834,147.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,numeric-fast-downward-local,irhadd,tight/loose,solved,valid,1.606241,1987,,1987,159.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p003,numeric-fast-downward-local,irhadd,tight/tight,solved,valid,15.858827,32946,,32946,147.0,results/controlled-resource/matched-2x2-p003-20260919-191426-639268/results.csv
logistics,p004,count-downward-agile,irhff,loose/loose,solved,valid,17.870188,131514,,131514,1095.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,count-downward-agile,irhff,loose/tight,solved,valid,0.602654,1824,,1824,666.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,count-downward-agile,irhff,tight/loose,solved,valid,0.803619,3206,,3206,995.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,count-downward-agile,irhff,tight/tight,solved,valid,0.602664,1541,,1541,928.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,enhsp,hadd,loose/loose,solved,valid,3.413004,392,,392,228.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,enhsp,hadd,loose/tight,solved,valid,6.022375,1245,,1245,208.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,enhsp,hadd,tight/loose,solved,valid,3.213247,433,,433,240.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,enhsp,hadd,tight/tight,solved,valid,4.015335,815,,815,196.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,enhsp,hradd,loose/loose,solved,valid,3.212163,392,,392,228.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,enhsp,hradd,loose/tight,solved,valid,6.022422,1245,,1245,208.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,enhsp,hradd,tight/loose,solved,valid,3.414679,433,,433,240.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,enhsp,hradd,tight/tight,solved,valid,3.814268,815,,815,196.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,metric-ff-cross-v1,numeric-hff,loose/loose,solved,valid,0.201033,,552,552,710.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,metric-ff-cross-v1,numeric-hff,loose/tight,solved,valid,0.200915,,552,552,710.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,metric-ff-cross-v1,numeric-hff,tight/loose,solved,valid,0.201322,,856,856,766.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,metric-ff-cross-v1,numeric-hff,tight/tight,solved,valid,0.201027,,811,811,774.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,numeric-fast-downward-local,irhadd,loose/loose,solved,valid,0.803335,365,,365,228.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,numeric-fast-downward-local,irhadd,loose/tight,solved,valid,1.004177,551,,551,240.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,numeric-fast-downward-local,irhadd,tight/loose,solved,valid,0.803231,458,,458,238.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
logistics,p004,numeric-fast-downward-local,irhadd,tight/tight,solved,valid,0.803095,581,,581,207.0,results/controlled-resource/matched-2x2-p004-20260919-191158-193347/results.csv
watering,p001,count-downward-agile,irhff,loose/loose,solved,valid,0.201034,1536,,1536,104.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,count-downward-agile,irhff,loose/tight,solved,valid,0.201027,400,,400,160.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,count-downward-agile,irhff,tight/loose,solved,valid,0.201141,9486,,9486,153.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,count-downward-agile,irhff,tight/tight,solved,valid,0.201108,1475,,1475,224.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,enhsp,hadd,loose/loose,solved,valid,0.401701,80,,80,76.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,enhsp,hadd,loose/tight,solved,valid,0.401679,268,,268,90.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,enhsp,hadd,tight/loose,solved,valid,0.602562,5103,,5103,94.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,enhsp,hadd,tight/tight,solved,valid,0.602452,8659,,8659,132.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,enhsp,hradd,loose/loose,solved,valid,0.401717,56,,56,87.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,enhsp,hradd,loose/tight,solved,valid,0.401726,198,,198,115.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,enhsp,hradd,tight/loose,solved,valid,0.803519,16251,,16251,94.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,enhsp,hradd,tight/tight,solved,valid,0.602616,8219,,8219,156.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,metric-ff-cross-v1,numeric-hff,loose/loose,solved,valid,0.201225,,395,395,255.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,metric-ff-cross-v1,numeric-hff,loose/tight,solved,valid,0.200945,,296,296,174.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,metric-ff-cross-v1,numeric-hff,tight/loose,solved,valid,0.201213,,1376,1376,282.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,metric-ff-cross-v1,numeric-hff,tight/tight,solved,valid,0.200866,,807,807,345.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,numeric-fast-downward-local,irhadd,loose/loose,solved,valid,0.200961,105,,105,76.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,numeric-fast-downward-local,irhadd,loose/tight,solved,valid,0.200957,327,,327,90.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,numeric-fast-downward-local,irhadd,tight/loose,solved,valid,0.401874,5829,,5829,94.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p001,numeric-fast-downward-local,irhadd,tight/tight,solved,valid,0.402112,9842,,9842,117.0,results/controlled-resource/matched-2x2-p001-20260919-191927-393149/results.csv
watering,p002,count-downward-agile,irhff,loose/loose,solved,valid,0.200961,2324,,2324,82.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,count-downward-agile,irhff,loose/tight,solved,valid,0.200963,671,,671,82.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,count-downward-agile,irhff,tight/loose,solved,valid,0.402193,15770,,15770,104.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,count-downward-agile,irhff,tight/tight,solved,valid,0.200892,3983,,3983,119.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,enhsp,hadd,loose/loose,solved,valid,0.402379,206,,206,77.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,enhsp,hadd,loose/tight,solved,valid,0.401691,206,,206,77.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,enhsp,hadd,tight/loose,solved,valid,4.817291,190184,,190184,99.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,enhsp,hadd,tight/tight,solved,valid,3.813265,152822,,152822,114.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,enhsp,hradd,loose/loose,solved,valid,0.402113,32,,32,86.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,enhsp,hradd,loose/tight,solved,valid,0.401847,32,,32,86.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,enhsp,hradd,tight/loose,solved,valid,8.430098,265203,,265203,127.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
watering,p002,enhsp,hradd,tight/tight,solved,valid,6.021853,189045,,189045,151.0,results/controlled-resource/matched-2x2-p002-20260919-191259-518435/results.csv
