planner,configuration,heuristic,search,benchmark,instance,status,compatible,return_code,wall_seconds,max_rss_kb,peak_group_rss_kb,limit_reason,plan_length,expanded_nodes,metric_value,objective_value,validation,plan_path,case_directory,source_instance,horizon,stock_regime,critical_ingredient,critical_required_doses,critical_stock
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_barman,barman__p002__stock-one-short,timeout,true,timeout,60.030433,292488,292488,timeout,,78,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/count-downward-agile/h-irhff__s-alias/controlled_barman/barman__p002__stock-one-short,p002,short,one-short,ingredient2,3,100
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_barman,barman__p002__stock-blocked-zero,unsolved,true,5,0.401753,21760,17132,,,0,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/count-downward-agile/h-irhff__s-alias/controlled_barman/barman__p002__stock-blocked-zero,p002,short,blocked-zero,ingredient2,3,0
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_barman,barman__p004__stock-abundant,timeout,true,timeout,60.035809,126004,126004,timeout,,40421,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/count-downward-agile/h-irhff__s-alias/controlled_barman/barman__p004__stock-abundant,p004,long,abundant,ingredient1,5,750
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_barman,barman__p004__stock-boundary,timeout,true,timeout,60.035972,177980,177980,timeout,,32093,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/count-downward-agile/h-irhff__s-alias/controlled_barman/barman__p004__stock-boundary,p004,long,boundary,ingredient1,5,250
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_barman,barman__p004__stock-one-short,timeout,true,timeout,60.041573,183196,183196,timeout,,39856,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/count-downward-agile/h-irhff__s-alias/controlled_barman/barman__p004__stock-one-short,p004,long,one-short,ingredient1,5,200
count-downward-agile,h-irhff__s-alias,irhff,alias,controlled_barman,barman__p004__stock-blocked-zero,unsolved,true,5,0.802996,53868,53868,,,0,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/count-downward-agile/h-irhff__s-alias/controlled_barman/barman__p004__stock-blocked-zero,p004,long,blocked-zero,ingredient1,5,0
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_barman,barman__p002__stock-abundant,timeout,true,timeout,60.034084,212856,212856,timeout,,640,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_barman/barman__p002__stock-abundant,p002,short,abundant,ingredient2,3,450
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_barman,barman__p002__stock-boundary,timeout,true,timeout,60.036361,237320,237320,timeout,,531,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_barman/barman__p002__stock-boundary,p002,short,boundary,ingredient2,3,150
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_barman,barman__p002__stock-one-short,timeout,true,timeout,60.028625,257092,257092,timeout,,531,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_barman/barman__p002__stock-one-short,p002,short,one-short,ingredient2,3,100
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_barman,barman__p002__stock-blocked-zero,timeout,true,timeout,60.032454,270160,270160,timeout,,347498,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_barman/barman__p002__stock-blocked-zero,p002,short,blocked-zero,ingredient2,3,0
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_barman,barman__p004__stock-abundant,timeout,true,timeout,60.037570,118472,118472,timeout,,1018,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_barman/barman__p004__stock-abundant,p004,long,abundant,ingredient1,5,750
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_barman,barman__p004__stock-boundary,timeout,true,timeout,60.045195,133816,133816,timeout,,923,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_barman/barman__p004__stock-boundary,p004,long,boundary,ingredient1,5,250
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_barman,barman__p004__stock-one-short,timeout,true,timeout,60.033558,127284,127284,timeout,,923,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_barman/barman__p004__stock-one-short,p004,long,one-short,ingredient1,5,200
numeric-fast-downward-local,h-irhadd__s-astar,irhadd,astar,controlled_barman,barman__p004__stock-blocked-zero,timeout,true,timeout,60.038647,119324,119324,timeout,,38037,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/numeric-fast-downward-local/h-irhadd__s-astar/controlled_barman/barman__p004__stock-blocked-zero,p004,long,blocked-zero,ingredient1,5,0
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_barman,barman__p002__stock-abundant,timeout,true,timeout,60.018253,579692,579692,timeout,,41882,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/enhsp/h-hadd__s-wastar/controlled_barman/barman__p002__stock-abundant,p002,short,abundant,ingredient2,3,450
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_barman,barman__p002__stock-boundary,timeout,true,timeout,60.014723,601212,601212,timeout,,50873,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/enhsp/h-hadd__s-wastar/controlled_barman/barman__p002__stock-boundary,p002,short,boundary,ingredient2,3,150
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_barman,barman__p002__stock-one-short,timeout,true,timeout,60.015833,594044,594044,timeout,,56716,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/enhsp/h-hadd__s-wastar/controlled_barman/barman__p002__stock-one-short,p002,short,one-short,ingredient2,3,100
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_barman,barman__p002__stock-blocked-zero,unsolved,true,0,0.401648,162600,110024,,,,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/enhsp/h-hadd__s-wastar/controlled_barman/barman__p002__stock-blocked-zero,p002,short,blocked-zero,ingredient2,3,0
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_barman,barman__p004__stock-abundant,timeout,true,timeout,60.017383,559520,559520,timeout,,4990,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/enhsp/h-hadd__s-wastar/controlled_barman/barman__p004__stock-abundant,p004,long,abundant,ingredient1,5,750
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_barman,barman__p004__stock-boundary,timeout,true,timeout,60.024686,540048,540048,timeout,,5563,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/enhsp/h-hadd__s-wastar/controlled_barman/barman__p004__stock-boundary,p004,long,boundary,ingredient1,5,250
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_barman,barman__p004__stock-one-short,timeout,true,timeout,60.012880,565368,565368,timeout,,5910,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/enhsp/h-hadd__s-wastar/controlled_barman/barman__p004__stock-one-short,p004,long,one-short,ingredient1,5,200
enhsp,h-hadd__s-wastar,hadd,WAStar,controlled_barman,barman__p004__stock-blocked-zero,unsolved,true,0,1.004386,437832,429456,,,,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/enhsp/h-hadd__s-wastar/controlled_barman/barman__p004__stock-blocked-zero,p004,long,blocked-zero,ingredient1,5,0
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_barman,barman__p002__stock-abundant,timeout,true,timeout,60.026195,586660,586660,timeout,,40283,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/enhsp/h-hradd__s-wastar/controlled_barman/barman__p002__stock-abundant,p002,short,abundant,ingredient2,3,450
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_barman,barman__p002__stock-boundary,timeout,true,timeout,60.019178,618836,618836,timeout,,49243,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/enhsp/h-hradd__s-wastar/controlled_barman/barman__p002__stock-boundary,p002,short,boundary,ingredient2,3,150
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_barman,barman__p002__stock-one-short,timeout,true,timeout,60.016224,618268,618268,timeout,,58224,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/enhsp/h-hradd__s-wastar/controlled_barman/barman__p002__stock-one-short,p002,short,one-short,ingredient2,3,100
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_barman,barman__p002__stock-blocked-zero,unsolved,true,0,0.602683,162304,162304,,,,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/enhsp/h-hradd__s-wastar/controlled_barman/barman__p002__stock-blocked-zero,p002,short,blocked-zero,ingredient2,3,0
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_barman,barman__p004__stock-abundant,timeout,true,timeout,60.015301,566604,566604,timeout,,5044,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/enhsp/h-hradd__s-wastar/controlled_barman/barman__p004__stock-abundant,p004,long,abundant,ingredient1,5,750
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_barman,barman__p004__stock-boundary,timeout,true,timeout,60.024843,568496,568496,timeout,,5651,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/enhsp/h-hradd__s-wastar/controlled_barman/barman__p004__stock-boundary,p004,long,boundary,ingredient1,5,250
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_barman,barman__p004__stock-one-short,timeout,true,timeout,60.013646,563628,563628,timeout,,5953,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/enhsp/h-hradd__s-wastar/controlled_barman/barman__p004__stock-one-short,p004,long,one-short,ingredient1,5,200
enhsp,h-hradd__s-wastar,hradd,WAStar,controlled_barman,barman__p004__stock-blocked-zero,unsolved,true,0,0.803711,415816,351460,,,,,,not-run,,results/controlled-barman/horizon-stock-p002-p004-20260919-194518-753176/cases/enhsp/h-hradd__s-wastar/controlled_barman/barman__p004__stock-blocked-zero,p004,long,blocked-zero,ingredient1,5,0
